,practice,pct,rate,rural_urban_code,mean_percentile,num_gps_june,num_gps_sept,CL,PH,PHAS,TOTAL,Value_imd,Value_satisfaction,Value_long_term_health,Value_over_65,Value_under_18,dispensing_patients,total_items,list_size,Principal Supplier,Principal System
0,A81001,00K,0.0,4.0,0.4047096441021539,2.0,,425.69000000000005,97.0,24.0,546.69,29.140310336708303,76.02048768372941,57.8950132736407,22.674829291264402,19.722156816576398,0.0,92445.0,4160.416666666667,TPP,SystmOne
1,A81002,00K,0.0011441647597254005,4.0,0.4952339127149278,12.0,12.0,435.0,97.0,27.0,559.0,29.6897059445844,85.1663347003187,58.8724639929286,21.025589361273397,18.7769494257506,0.0,457691.0,19945.5,TPP,SystmOne
2,A81004,00M,0.0,4.0,0.4928130162744133,2.0,3.0,427.63,97.0,27.0,551.63,34.411828352490396,72.9551682820935,50.0530754798184,18.898240244835502,18.135315335009306,0.0,197867.0,9572.25,TPP,SystmOne
3,A81005,00M,0.0,3.0,0.3738933156412053,8.0,9.0,429.72,91.76,27.0,548.48,15.743812229849999,85.1188311148581,52.1331580138632,26.6268429079817,17.5851550584647,0.0,193415.0,7957.583333333334,TPP,SystmOne
4,A81006,00K,0.0,4.0,0.4261509247357788,8.0,8.0,425.72,97.0,27.0,549.72,31.791514825886694,85.09676878642391,51.838238733049,18.484407820326396,20.8612053643561,0.0,330733.0,13844.916666666664,TPP,SystmOne
5,A81007,00K,0.0,4.0,0.4051900885239452,9.0,10.0,430.68,97.0,27.0,554.6800000000002,32.0680377666633,86.1942885707074,58.507731990388784,18.595631761584002,21.475811390079603,0.0,195468.0,9959.25,EMIS,EMIS Web
6,A81009,00M,0.0,4.0,0.37194496182382464,5.0,5.0,434.0,87.0,27.0,548.0,35.263877515310604,66.261000291606,60.345234923649215,15.063401836467,22.114123305640607,0.0,210899.0,8956.833333333332,TPP,SystmOne
7,A81011,00K,0.0,4.0,0.3950926350019019,5.0,5.0,434.96,93.21,27.0,555.1700000000002,34.6270615157052,88.0872600157893,58.8037834958999,18.794048551292104,19.6867658574785,0.0,269270.0,11789.416666666668,TPP,SystmOne
8,A81012,00M,0.0,4.0,0.4408878910947984,2.0,2.0,418.03,97.0,27.0,542.03,50.1289394572025,78.7027901933979,65.0553662326474,13.8204592901879,23.2066805845512,0.0,164223.0,4773.5,TPP,SystmOne
9,A81013,00M,0.0,3.0,0.462927145271049,4.0,4.0,435.0,97.0,27.0,559.0,29.955487852283802,91.1662420792848,57.1663124354644,18.5131195335277,22.0796890184645,0.0,157910.0,6304.083333333332,TPP,SystmOne
10,A81014,00K,0.0,4.0,0.4239136309325803,3.0,3.0,434.25,97.0,27.0,558.25,22.235720576671,82.46499866934029,70.4946464243608,27.916120576671,16.0209698558322,0.0,107386.0,3816.916666666666,TPP,SystmOne
11,A81015,00M,0.0,3.0,0.4085044825522196,2.0,2.0,395.88999999999993,91.07,27.0,513.9599999999998,24.500578828099695,78.56740452835041,62.7597137743925,18.525703200775894,17.044940187520197,0.0,75638.0,2958.333333333333,EMIS,EMIS Web
12,A81016,00M,0.012658227848101266,4.0,0.4781294241643896,6.0,5.0,428.25,96.76,27.0,552.01,43.8037803288861,82.55893535567701,53.5885515169981,13.466308391897499,21.659776767259196,0.0,208484.0,9758.0,TPP,SystmOne
13,A81017,00K,0.016689847009735744,4.0,0.4424883540858173,10.0,9.0,433.42,97.0,27.0,557.4200000000002,18.988191168629697,50.2307113792914,43.1510805967884,14.194391980241196,24.1784105767834,0.0,406415.0,20159.416666666668,TPP,SystmOne
14,A81018,00M,0.0,3.0,0.4686407181368541,4.0,4.0,431.67,87.48,26.04,545.1899999999998,29.5430167296276,62.4272334886154,53.284117332902696,20.672558741108,19.7736581159733,0.0,267418.0,9738.083333333334,TPP,SystmOne
15,A81019,00M,0.01773049645390071,4.0,0.4683051169124819,5.0,6.0,407.44000000000005,97.0,27.0,531.44,49.49477707747501,55.1572451877892,60.5864469019928,14.421399496026401,24.5532079860438,0.0,249160.0,10077.166666666668,TPP,SystmOne
16,A81020,00M,0.0,4.0,0.5396720272382253,2.0,4.0,421.69,82.4,24.0,528.09,31.523121750158506,86.58038095884109,48.8905063057621,22.1757322175732,20.101432737416,0.0,196927.0,7814.333333333332,TPP,SystmOne
17,A81021,00M,0.0,3.0,0.5075454463781363,7.0,8.0,429.57000000000005,95.96,27.0,552.5300000000002,34.7531374838856,92.66905258934608,57.6705817181772,19.5118253486962,20.6337174044876,0.0,385839.0,13356.666666666664,EMIS,EMIS Web
